,age_yr
4037,95
6288,37
5658,38
6031,96
3782,34
4491,84
4909,72
5880,28
2404,24
2484,45
391,70
6740,50
1306,86
247,64
6133,57
4046,26
4255,19
3014,69
6064,13
2583,60
3205,61
4799,76
3578,70
2655,35
6597,23
1084,40
2573,30
526,73
1718,56
13,50
2752,17
2554,45
1848,72
5974,47
967,59
6599,39
4105,43
3125,36
353,49
6260,25
1197,38
3965,60
4237,17
5469,62
3795,71
1282,81
5061,29
1165,45
4112,51
263,40
598,37
1764,74
469,30
1378,56
6700,45
3907,83
5420,64
3005,13
1454,50
1021,26
3731,39
3665,65
413,42
5999,59
4602,68
5942,60
429,54
2790,47
1457,23
2060,35
6340,40
1909,12
6705,29
549,38
329,65
238,83
4038,24
1808,72
2808,57
3090,22
5523,78
273,85
936,74
6429,25
80,47
661,21
3699,65
4456,30
6233,72
1946,62
2105,59
4053,44
237,73
6480,53
2766,33
1014,65
81,22
2775,64
4116,38
1345,75
4367,55
1839,85
4940,57
5058,38
5430,59
6451,54
5333,23
2841,30
1269,69
2658,45
3218,22
3784,45
4588,27
5731,41
5767,27
5586,35
5945,31
5532,78
4254,30
1547,56
958,54
2728,62
1533,35
6601,40
104,45
5099,65
4484,80
161,57
2084,75
4172,59
3508,35
327,29
6493,55
95,42
6582,50
3691,55
2802,70
4082,54
944,46
6093,18
4871,35
4262,36
891,12
6496,52
718,27
5434,68
1423,46
6624,44
2327,34
1690,61
5758,22
820,62
3338,30
422,38
3768,55
5802,71
3769,83
6479,73
2962,80
3641,20
4971,22
609,30
6218,65
264,44
325,34
6044,37
2133,52
5156,64
1456,43
6495,20
6188,41
4537,49
2466,18
5555,23
632,28
2115,30
5113,25
6245,70
3505,50
6310,58
2535,35
6220,61
4092,32
3538,30
5648,27
1884,82
4317,56
1012,84
5973,57
3247,45
540,22
4378,50
2635,75
602,47
4297,27
5314,70
5183,25
6714,75
5988,36
4925,27
574,33
2371,33
102,70
6696,27
5528,28
3044,76
2123,45
5729,90
259,15
2606,40
2352,25
5011,35
6589,83
4980,72
5343,46
1093,36
6708,78
4556,42
4953,80
5835,55
3721,54
2103,26
5531,36
4508,60
449,83
2116,46
6236,50
4,76
4592,42
5690,69
6256,65
193,60
1311,32
6545,28
3647,35
1656,96
5132,48
2076,57
3822,14
2845,18
1228,42
5919,66
5949,23
2228,86
3082,29
1979,52
2907,72
3637,45
2317,18
5091,27
612,70
6283,55
3773,37
6367,90
5924,60
3197,13
1571,16
5887,57
44,82
6234,45
3622,18
6311,68
5952,48
1508,85
4101,60
6324,60
4927,73
1259,53
4626,79
2848,16
1699,85
2030,55
5176,25
3034,65
3826,40
1408,25
1685,72
1913,85
6625,35
4148,48
4839,42
818,16
5040,31
2442,50
124,22
1145,17
6378,71
6685,66
6534,35
6235,51
5255,45
985,41
3902,80
1895,44
3837,85
2735,74
1450,67
673,50
1489,47
605,52
3603,63
4115,65
6564,20
3311,39
2113,50
6005,65
2540,70
2369,70
5962,54
895,35
1042,16
877,20
3095,63
1969,31
3724,70
676,41
6695,62
588,80
3162,70
1361,67
3592,33
3588,36
3745,63
3469,72
6576,75
1067,70
5373,36
4825,58
2750,24
1254,74
5787,35
6551,24
5737,42
5285,36
4779,71
6639,30
3751,25
209,20
2864,57
4093,70
1942,30
4170,45
3590,60
5309,30
5735,80
403,33
1917,26
3908,26
4694,79
4675,34
427,72
1822,89
1379,70
5888,56
3347,41
5205,35
4701,70
2179,40
4869,49
1867,43
2311,45
2740,25
318,25
2585,73
1128,40
5548,52
3326,82
1921,31
1106,59
6242,70
3251,56
1424,21
5106,24
4970,68
1581,55
5708,55
3970,66
4930,20
2187,77
4660,55
1998,25
1135,43
5578,55
1483,42
2543,25
3027,41
2706,62
3558,60
6410,20
3801,43
2389,86
250,81
649,48
410,31
2295,14
2596,30
5617,55
6198,55
5609,73
2394,63
1700,22
4141,64
797,64
2592,12
